epoch,train_accuracy,val_accuracy,train_loss,val_loss
10,0.8950,0.8618,0.6514,1.1211
1,0.8578,0.8278,0.6289,1.1550
2,0.8680,0.8697,0.6257,1.1133
3,0.8667,0.9073,0.6278,1.0756
4,0.8487,0.7795,0.6243,1.2035
5,0.8807,0.9008,0.6234,1.0821
6,0.8414,0.9035,0.6224,1.0793
7,0.8758,0.8748,0.6242,1.1081
8,0.8585,0.9209,0.6218,1.0620
9,0.8705,0.8603,0.6280,1.1226
10,0.9061,0.8915,0.6279,1.0914
1,0.8317,0.8402,0.6326,1.1429
2,0.8304,0.7758,0.6263,1.2073
3,0.8348,0.8932,0.6270,1.0897
4,0.8399,0.8807,0.6286,1.1022
5,0.8461,0.8514,0.6311,1.1314
6,0.8329,0.8471,0.6264,1.1357
7,0.8598,0.8765,0.6269,1.1064
8,0.8271,0.8715,0.6251,1.1114
9,0.8437,0.8453,0.6218,1.1376
10,0.8420,0.8736,0.6268,1.1093
1,0.8351,0.7793,0.6327,1.2038
2,0.8318,0.7899,0.6260,1.1931
3,0.8259,0.8887,0.6254,1.0941
4,0.8609,0.8778,0.6307,1.1052
5,0.8441,0.9146,0.6261,1.0682
6,0.8428,0.8929,0.6265,1.0901
7,0.8310,0.8699,0.6240,1.1130
8,0.8696,0.8588,0.6337,1.1241
9,0.8893,0.9209,0.6306,1.0620
10,0.8574,0.8834,0.6219,1.0995
1,0.8407,0.8740,0.6326,1.1092
2,0.8452,0.8625,0.6253,1.1205
3,0.8211,0.8394,0.6261,1.1436
4,0.8297,0.8360,0.6277,1.1469
5,0.8329,0.8391,0.6253,1.1437
6,0.8519,0.8631,0.6266,1.1197
7,0.8049,0.7737,0.6269,1.2092
8,0.8209,0.8861,0.6262,1.0968
9,0.8945,0.8762,0.6398,1.1066
10,0.8555,0.7992,0.6259,1.1837
1,0.8658,0.8786,0.6528,1.1094
2,0.8851,0.8594,0.6189,1.1263
3,0.8895,0.8784,0.6134,1.1064
4,0.8906,0.8793,0.6121,1.1053
5,0.8937,0.8706,0.6095,1.1129
6,0.8938,0.8492,0.6083,1.1350
7,0.8939,0.8493,0.6078,1.1347
8,0.8936,0.8856,0.6078,1.0981
9,0.8956,0.8358,0.6059,1.1480
10,0.8969,0.8785,0.6051,1.1056
1,0.8697,0.8895,0.6492,1.0990
2,0.8885,0.8597,0.6163,1.1261
3,0.8920,0.8839,0.6109,1.1007
4,0.8930,0.8529,0.6093,1.1323
5,0.8974,0.8370,0.6051,1.1477
6,0.8992,0.8156,0.6035,1.1686
7,0.8980,0.8836,0.6036,1.1001
8,0.9004,0.8755,0.6010,1.1083
9,0.9001,0.8860,0.6010,1.0975
10,0.8997,0.8422,0.6019,1.1416
1,0.8651,0.8711,0.6515,1.1170
2,0.8876,0.8906,0.6165,1.0948
3,0.8910,0.8226,0.6121,1.1626
4,0.8923,0.8653,0.6104,1.1191
5,0.8941,0.8675,0.6082,1.1170
6,0.8937,0.8901,0.6076,1.0936
7,0.8943,0.8481,0.6073,1.1358
8,0.8956,0.8650,0.6052,1.1188
9,0.8971,0.8704,0.6044,1.1134
10,0.8972,0.8590,0.6034,1.1244
1,0.8625,0.8560,0.6576,1.1326
2,0.8883,0.7840,0.6165,1.2012
3,0.8891,0.8133,0.6130,1.1716
4,0.8937,0.8443,0.6093,1.1401
5,0.8950,0.8282,0.6069,1.1565
6,0.8983,0.8073,0.6037,1.1771
7,0.8973,0.8682,0.6040,1.1156
8,0.9013,0.8266,0.6009,1.1576
9,0.9014,0.8688,0.6000,1.1149
10,0.9029,0.8531,0.5982,1.1309
1,0.8686,0.8779,0.6477,1.1102
2,0.8864,0.8769,0.6175,1.1087
3,0.8902,0.8952,0.6126,1.0897
4,0.8925,0.8274,0.6101,1.1578
5,0.8943,0.8738,0.6078,1.1108
6,0.8957,0.8851,0.6060,1.0991
7,0.8960,0.8095,0.6054,1.1749
8,0.8991,0.8749,0.6023,1.1089
9,0.8998,0.8890,0.6016,1.0949
10,0.9044,0.8887,0.5981,1.0953
1,0.8981,0.8884,0.6031,1.0947
2,0.9080,0.8824,0.5925,1.1010
3,0.9174,0.8966,0.5834,1.0865
4,0.9262,0.8927,0.5748,1.0906
5,0.9314,0.9051,0.5694,1.0780
6,0.9362,0.9116,0.5646,1.0716
7,0.9398,0.9148,0.5611,1.0682
8,0.9430,0.9171,0.5578,1.0660
9,0.9461,0.9324,0.5548,1.0508
10,0.9485,0.9279,0.5524,1.0554
1,0.9056,0.8821,0.5957,1.1011
2,0.9178,0.8964,0.5829,1.0868
3,0.9268,0.8997,0.5739,1.0835
4,0.9336,0.8991,0.5672,1.0840
5,0.9390,0.9177,0.5617,1.0656
6,0.9437,0.9214,0.5570,1.0617
7,0.9482,0.9305,0.5525,1.0525
8,0.9515,0.9319,0.5491,1.0513
9,0.9545,0.9313,0.5462,1.0518
10,0.9573,0.9337,0.5433,1.0495
1,0.8993,0.8646,0.6018,1.1184
2,0.9076,0.9143,0.5929,1.0687
3,0.9138,0.8673,0.5868,1.1158
4,0.9231,0.9017,0.5777,1.0817
5,0.9307,0.9038,0.5703,1.0795
6,0.9361,0.9136,0.5649,1.0696
7,0.9401,0.9090,0.5608,1.0742
8,0.9442,0.9124,0.5568,1.0706
9,0.9477,0.9218,0.5532,1.0614
10,0.9508,0.9208,0.5502,1.0623
1,0.9002,0.8880,0.6011,1.0953
2,0.9103,0.8842,0.5902,1.0990
3,0.9159,0.8988,0.5845,1.0841
4,0.9227,0.8929,0.5779,1.0902
5,0.9289,0.9010,0.5719,1.0820
6,0.9336,0.9118,0.5671,1.0714
7,0.9372,0.9182,0.5635,1.0649
8,0.9404,0.9195,0.5602,1.0635
9,0.9431,0.9253,0.5576,1.0577
10,0.9457,0.9285,0.5550,1.0548
1,0.8983,0.8546,0.6030,1.1286
2,0.9087,0.8856,0.5917,1.0976
3,0.9163,0.8911,0.5843,1.0922
4,0.9228,0.8895,0.5779,1.0939
5,0.9274,0.8958,0.5732,1.0874
6,0.9321,0.9036,0.5686,1.0795
7,0.9361,0.9083,0.5646,1.0748
8,0.9393,0.9239,0.5614,1.0593
9,0.9424,0.9187,0.5583,1.0646
10,0.9449,0.9259,0.5558,1.0573
1,0.9007,0.8822,0.6003,1.1009
2,0.9129,0.8924,0.5877,1.0910
3,0.9200,0.8631,0.5806,1.1200
4,0.9255,0.9096,0.5752,1.0733
5,0.9300,0.8877,0.5707,1.0956
6,0.9338,0.8948,0.5667,1.0883
7,0.9375,0.8968,0.5631,1.0862
8,0.9403,0.9216,0.5603,1.0616
9,0.9430,0.9227,0.5576,1.0604
10,0.9456,0.9248,0.5550,1.0583
1,0.9090,0.8746,0.5924,1.1084
2,0.9216,0.9017,0.5790,1.0813
3,0.9280,0.9090,0.5726,1.0742
4,0.9331,0.9213,0.5673,1.0617
5,0.9371,0.9156,0.5634,1.0674
6,0.9411,0.9227,0.5593,1.0606
7,0.9453,0.9308,0.5552,1.0523
8,0.9485,0.9207,0.5520,1.0625
9,0.9525,0.9299,0.5481,1.0531
10,0.9556,0.9326,0.5451,1.0505
1,0.9009,0.8699,0.6004,1.1132
2,0.9122,0.8810,0.5883,1.1022
3,0.9191,0.9162,0.5815,1.0669
4,0.9235,0.9096,0.5771,1.0735
5,0.9275,0.8986,0.5731,1.0842
6,0.9311,0.8897,0.5693,1.0934
7,0.9346,0.8938,0.5660,1.0891
8,0.9375,0.9067,0.5630,1.0764
9,0.9412,0.8913,0.5596,1.0918
10,0.9442,0.9042,0.5566,1.0790
1,0.9027,0.9079,0.5985,1.0751
2,0.9145,0.8796,0.5860,1.1035
3,0.9188,0.8989,0.5816,1.0841
4,0.9238,0.8939,0.5767,1.0891
5,0.9272,0.8981,0.5733,1.0849
6,0.9317,0.8833,0.5689,1.0997
7,0.9348,0.9040,0.5658,1.0791
8,0.9384,0.8998,0.5622,1.0833
9,0.9409,0.9195,0.5597,1.0634
10,0.9433,0.9266,0.5573,1.0564
1,0.9006,0.8907,0.6008,1.0924
2,0.9134,0.8580,0.5872,1.1249
3,0.9197,0.9060,0.5809,1.0770
4,0.9255,0.9000,0.5752,1.0830
5,0.9289,0.8894,0.5717,1.0939
6,0.9326,0.9085,0.5680,1.0747
7,0.9356,0.9136,0.5649,1.0697
8,0.9382,0.9165,0.5624,1.0665
9,0.9409,0.9169,0.5596,1.0664
10,0.9437,0.9302,0.5570,1.0531
1,0.8308,0.8505,0.6408,1.1323
2,0.8200,0.8628,0.6373,1.1202
3,0.8218,0.8186,0.6380,1.1642
4,0.8561,0.8515,0.6421,1.1314
5,0.8590,0.8734,0.6427,1.1095
6,0.8613,0.8480,0.6410,1.1349
7,0.8403,0.7934,0.6375,1.1895
8,0.8522,0.8523,0.6396,1.1306
9,0.8687,0.9050,0.6446,1.0779
10,0.8791,0.8521,0.6506,1.1308
1,0.8620,0.7490,0.6303,1.2339
2,0.8545,0.8966,0.6269,1.0863
3,0.8545,0.8878,0.6271,1.0951
4,0.8808,0.9010,0.6286,1.0819
5,0.8555,0.8041,0.6254,1.1788
6,0.8567,0.8206,0.6289,1.1622
7,0.8549,0.8656,0.6277,1.1172
8,0.8781,0.8912,0.6228,1.0917
9,0.8943,0.8740,0.6288,1.1088
10,0.8934,0.9146,0.6274,1.0683
1,0.8337,0.8288,0.6388,1.1543
2,0.8389,0.8253,0.6356,1.1577
3,0.8227,0.8881,0.6376,1.0948
4,0.8501,0.8831,0.6332,1.0999
5,0.8399,0.8839,0.6310,1.0990
6,0.8469,0.8798,0.6318,1.1031
7,0.8304,0.8374,0.6350,1.1455
8,0.8398,0.7828,0.6321,1.2001
9,0.8520,0.8926,0.6321,1.0903
10,0.8514,0.8186,0.6290,1.1642
1,0.8367,0.8620,0.6403,1.1211
2,0.8367,0.7362,0.6390,1.2467
3,0.8194,0.8580,0.6373,1.1250
4,0.8435,0.8572,0.6357,1.1258
5,0.8651,0.8570,0.6422,1.1259
6,0.8510,0.6706,0.6343,1.3124
7,0.8305,0.8522,0.6361,1.1307
8,0.8320,0.8062,0.6315,1.1767
9,0.8518,0.8914,0.6326,1.0915
10,0.8322,0.7577,0.6319,1.2251
1,0.8322,0.8544,0.6399,1.1286
2,0.8278,0.8585,0.6400,1.1244
3,0.8427,0.8210,0.6418,1.1619
4,0.8417,0.8709,0.6372,1.1121
5,0.8257,0.8613,0.6367,1.1216
6,0.8602,0.9202,0.6375,1.0628
7,0.8604,0.8271,0.6417,1.1557
8,0.8499,0.8343,0.6349,1.1486
9,0.8431,0.9081,0.6346,1.0748
10,0.8368,0.8104,0.6401,1.1725
1,0.8133,0.8515,0.1001,0.1075
2,0.8389,0.8471,0.0899,0.1029
3,0.8451,0.8490,0.0848,0.1036
4,0.8491,0.8466,0.0822,0.1057
5,0.8530,0.8536,0.0809,0.0995
6,0.8557,0.8666,0.0790,0.0938
7,0.8609,0.8595,0.0775,0.0985
8,0.8639,0.8756,0.0766,0.0874
9,0.8639,0.8680,0.0753,0.0907
10,0.8651,0.8685,0.0744,0.0944
1,0.8373,0.8585,0.0941,0.1021
2,0.8504,0.8555,0.0865,0.1040
3,0.8522,0.8563,0.0843,0.1023
4,0.8530,0.8258,0.0821,0.1146
5,0.8544,0.8610,0.0808,0.0975
6,0.8569,0.8387,0.0789,0.1026
7,0.8608,0.8540,0.0766,0.0933
8,0.8614,0.8908,0.0758,0.0752
9,0.8639,0.8675,0.0746,0.0918
10,0.8661,0.8471,0.0734,0.1045
1,0.8125,0.7843,0.0986,0.1314
2,0.8356,0.8506,0.0874,0.1026
3,0.8492,0.8513,0.0827,0.1037
4,0.8542,0.8851,0.0810,0.0772
5,0.8571,0.8646,0.0795,0.0962
6,0.8610,0.8690,0.0775,0.0964
7,0.8607,0.8521,0.0765,0.1056
8,0.8638,0.8667,0.0750,0.0926
9,0.8683,0.8860,0.0735,0.0787
10,0.8664,0.8753,0.0733,0.0864
1,0.8185,0.8294,0.0981,0.1150
2,0.8370,0.8632,0.0892,0.0942
3,0.8467,0.8453,0.0847,0.1011
4,0.8518,0.8372,0.0816,0.1100
5,0.8589,0.8728,0.0794,0.0902
6,0.8603,0.8612,0.0788,0.0955
7,0.8644,0.8972,0.0767,0.0719
8,0.8686,0.8460,0.0754,0.1114
9,0.8679,0.8654,0.0749,0.0952
10,0.8717,0.8679,0.0737,0.0941
1,0.8158,0.8716,0.0982,0.0846
2,0.8343,0.8622,0.0897,0.1009
